event_ID,name,date,description,place_ID,capacity,price
1,Small whom.,2000-10-22,"Picture vote play take think people. Tv local enough. Father tend for girl bed.
Money miss population.",14,171,84
2,Save simply understand.,1975-01-13,High floor arrive eight north. Live prepare anyone meeting although deep. Hit eat maybe third whom above minute.,12,471,92
3,Laugh break build.,2000-03-18,"Support return pick pass step assume.
Pm break teach line without. Change ahead production hour figure knowledge. Anyone north sort parent.",8,428,83
4,Sit share future.,2010-02-15,"Begin expert deal purpose take parent. Top together its back finally.
Think despite air threat. Run relate let shake federal. Loss approach for involve five teacher professor.",3,226,72
5,Eye then public suddenly.,1972-04-30,"Can choice against. Sea somebody her today produce none.
Kid garden message. Speech behavior bar will.
Evening another glass day poor player thing specific. South day opportunity baby top hear south.",4,320,38
6,Staff about front.,2010-06-27,"Occur standard staff difference experience. Night land across west part town.
Human mention piece oil from. Idea thought most place off.",1,466,62
7,Short century common.,1976-02-14,Agreement consumer finally we Congress attack get. Various mention lot coach sit long.,9,57,31
8,Keep pass.,1980-03-02,"For whatever appear that. Loss only join over little source wear. Rock wait you little rock current.
Market law spring seven. Lay rich stock no effort. Trip its describe.",13,415,25
9,Outside expect.,1973-05-26,Cell travel trip where available whether should across. Test their wrong lay there return side name. Require receive draw draw most during.,1,493,79
10,Evening indeed.,1977-02-27,Charge partner job environmental bar agency. Require painting ability direction matter fund.,10,288,29
11,Feeling before.,2001-02-14,"Today rich rise attack. Peace decision and reveal determine voice option.
Station method quickly avoid price might. Impact work onto less thousand cell.",14,196,94
12,Sing interesting available.,2004-08-05,"View rock rich over. Since Congress billion smile.
Tough benefit serve. Road write maintain compare suggest ago. Memory customer grow season glass position head fear.",9,481,74
13,Answer example artist.,1980-12-14,"Similar six who home. Mr clearly budget right. Knowledge nothing among business create war.
Win member these memory future. Wish light stay building system industry.",20,233,72
14,Produce structure media who.,2018-07-05,Cell front store discussion fund. Population gas edge theory full. Hope election movement answer rather population develop.,14,500,69
15,Risk through.,1993-02-26,"Light task degree. Decision raise through voice exist here whose. Project go skin up theory defense ok.
Same west heavy relationship region. Event consider issue appear.",9,408,74
16,World huge.,1971-05-25,"Minute rock administration design. Its current conference make former law. Drop issue will nation.
Dog I continue line. Weight expect provide participant security simply.",3,431,11
17,Else direction play.,2018-09-20,Summer especially day international hear left. Crime knowledge commercial which on end. Talk debate kid front political.,18,299,87
18,Away eight.,1978-12-14,"Outside world sort power. Safe citizen hospital science sing.
Space by price instead our.
Hand play technology fill girl develop matter. Meet long true. Indeed year issue everything.",2,342,64
19,Food about.,1978-07-10,"Building reach chance ready little say field bill. About sister develop one.
Second fire great article store contain eat room. Stuff class from part represent hold.",20,124,81
20,Science hair.,1971-05-29,Recognize study heart source determine system. Good pick discover anyone help. Almost magazine couple few control. Time million top environmental reach really.,16,139,53
21,Mr capital.,1991-04-17,Health structure ago would. Real stock hope if after drive. Significant them ten get laugh nation memory. Himself happy film people.,5,290,44
22,Fine discover.,2014-12-07,"Have civil hour management push them. Exactly while pick.
Husband hear reach. Them law religious offer. Father city site popular defense against fast.",15,467,59
23,Its because.,2002-11-10,Picture well Republican sing special. Later late data. Direction room make receive month poor.,2,399,93
24,After trade.,1988-04-17,Down participant difficult able site. Movement hear seek beat modern probably. Oil few nation television single many.,11,500,55
25,Finally keep.,1992-11-09,Ask green concern gun image reach. Worker production thought Mrs land discussion major. Side wear focus religious condition lawyer because green.,4,384,18
26,Alone including.,2020-09-25,Growth entire edge number evening happen give. Type activity sister explain son security apply.,7,455,58
27,Size film hear.,1988-01-02,"No book seem put interesting now. Simple fear type magazine.
Everybody data Democrat brother music argue. State sometimes through before require tend beat. Various cost focus measure hair.",20,464,41
28,Stand wrong.,2012-12-16,Picture learn of become despite. Push kind institution describe short.,6,161,64
29,Eight majority book her.,2003-08-08,But think type traditional answer but. Student property boy little design central exist.,3,494,75
30,Stage baby.,2018-10-04,"From about economic bag every plant answer.
Concern dream social radio hospital. Fund wife wife listen similar. Chance health apply store.",16,247,75
